Reported_Date,Type,State,Age_Group,Gender,Cases,Monetary_Loss
1999-01-01,Credit Card Fraud,TX,30-39,Male,57,5095.46
1999-01-01,Credit Card Fraud,CA,18-29,Male,55,3680.11
1999-01-03,Loan or Lease Fraud,TX,30-39,Male,67,809.52
1999-01-03,Bank Fraud,MI,40-49,Female,67,4863.04
1999-01-03,Tax-Related Fraud,OH,60+,Male,80,5162.3
1999-01-03,Phone or Utilities Fraud,CA,50-59,Male,60,2705.59
1999-01-04,Bank Fraud,GA,18-29,Male,55,2574.49
1999-01-04,Loan or Lease Fraud,GA,30-39,Male,64,7215.39
1999-01-05,Tax-Related Fraud,NY,40-49,Female,59,1213.01
1999-01-06,Credit Card Fraud,NY,30-39,Female,64,
1999-01-08,Employment Fraud,TX,30-39,Female,58,4315.69
1999-01-09,Credit Card Fraud,GA,40-49,Male,54,3382.19
1999-01-10,Government Documents or Benefits Fraud,CA,30-39,Female,51,15892.28
1999-01-10,Credit Card Fraud,PA,30-39,Female,54,2592.34
1999-01-12,Credit Card Fraud,IL,40-49,Female,68,4538.86
1999-01-13,Credit Card Fraud,NY,50-59,Male,75,9615.04
1999-01-13,Bank Fraud,CA,40-49,Female,73,3053.96
1999-01-13,Bank Fraud,CA,30-39,Female,68,1689.91
1999-01-14,Credit Card Fraud,TX,30-39,Male,56,1582.5
1999-01-14,Government Documents or Benefits Fraud,GA,30-39,Female,64,10120.34
1999-01-14,Loan or Lease Fraud,PA,60+,Male,55,1748.21
1999-01-15,Government Documents or Benefits Fraud,CA,50-59,Male,70,2204.6
1999-01-16,Bank Fraud,FL,40-49,Female,61,3456.95
1999-01-17,Loan or Lease Fraud,CA,40-49,Female,52,17140.78
1999-01-18,Loan or Lease Fraud,IL,40-49,Female,63,828.04
1999-01-18,Bank Fraud,TX,30-39,Female,68,1171.04
1999-01-19,Government Documents or Benefits Fraud,PA,50-59,Female,47,3310.88
1999-01-19,Phone or Utilities Fraud,TX,40-49,Female,59,12290.59
1999-01-19,Loan or Lease Fraud,IL,50-59,Male,71,808.37
1999-01-20,Loan or Lease Fraud,OH,60+,Female,54,21866.1
1999-01-22,Loan or Lease Fraud,CA,18-29,Male,69,10933.5
1999-01-23,Bank Fraud,MI,40-49,Male,64,263.63
1999-01-23,Credit Card Fraud,MI,60+,Male,63,3100.69
1999-01-24,Credit Card Fraud,CA,40-49,Female,79,5571.22
1999-01-24,Phone or Utilities Fraud,IL,50-59,Male,73,
1999-01-26,Credit Card Fraud,IL,18-29,Male,56,527.88
1999-01-27,Phone or Utilities Fraud,CA,60+,Female,54,316.9
1999-01-27,Bank Fraud,GA,40-49,Female,61,3631.93
1999-01-28,Credit Card Fraud,NY,30-39,Female,76,3283.38
1999-01-29,Credit Card Fraud,OH,60+,Male,63,1488.36
1999-01-30,Credit Card Fraud,TX,30-39,Female,58,4546.27
1999-01-30,Bank Fraud,IL,30-39,Female,68,4681.4
1999-01-30,Credit Card Fraud,GA,50-59,Female,75,482.48
1999-02-01,Credit Card Fraud,TX,50-59,Male,67,4340.22
1999-02-02,Bank Fraud,PA,18-29,Male,74,5002.17
1999-02-02,Government Documents or Benefits Fraud,IL,40-49,Male,65,1553.33
1999-02-02,Employment Fraud,NY,30-39,Male,65,927.13
1999-02-03,Phone or Utilities Fraud,CA,60+,Female,73,6190.06
1999-02-04,Credit Card Fraud,PA,18-29,Female,75,5507.2
1999-02-05,Credit Card Fraud,IL,18-29,Other,56,1514.99
1999-02-06,Bank Fraud,OH,60+,Female,74,1709.4
1999-02-06,Credit Card Fraud,CA,40-49,Male,69,9545.7
1999-02-07,Credit Card Fraud,NC,40-49,Male,68,4283.02
1999-02-09,Phone or Utilities Fraud,TX,18-29,Female,47,8549.73
1999-02-11,Phone or Utilities Fraud,TX,30-39,Male,77,1789.49
1999-02-13,Credit Card Fraud,OH,18-29,Female,69,1531.4
1999-02-13,Bank Fraud,CA,18-29,Female,67,6155.75
1999-02-13,Credit Card Fraud,NY,18-29,Female,76,
1999-02-13,Bank Fraud,IL,30-39,Male,59,3680.92
1999-02-14,Credit Card Fraud,PA,40-49,Female,51,1080.62
1999-02-15,Phone or Utilities Fraud,TX,60+,Male,81,130.58
1999-02-15,Phone or Utilities Fraud,OH,18-29,Female,54,1092.01
1999-02-16,Bank Fraud,MI,30-39,Male,76,25850.14
1999-02-16,Credit Card Fraud,TX,40-49,Female,74,1618.28
1999-02-17,Credit Card Fraud,NY,18-29,Female,57,2711.12
1999-02-18,Employment Fraud,NY,18-29,Female,60,1982.18
1999-02-18,Employment Fraud,CA,40-49,Female,59,1573.6
1999-02-19,Loan or Lease Fraud,IL,40-49,Female,72,2462.66
1999-02-19,Credit Card Fraud,CA,18-29,Male,99,1527.18
1999-02-20,Credit Card Fraud,IL,50-59,Male,76,3869.94
1999-02-21,Credit Card Fraud,CA,18-29,Female,57,713.82
1999-02-23,Bank Fraud,FL,18-29,Male,78,1188.11
1999-02-25,Phone or Utilities Fraud,FL,50-59,Male,66,2097.0
1999-02-26,Bank Fraud,MI,40-49,Male,69,2450.13
1999-02-26,Credit Card Fraud,CA,40-49,Male,49,7240.82
1999-03-01,Bank Fraud,NC,40-49,Male,83,1607.46
1999-03-01,Loan or Lease Fraud,NC,18-29,Female,67,4878.62
1999-03-02,Credit Card Fraud,TX,50-59,Female,64,2403.08
1999-03-02,Credit Card Fraud,NY,50-59,Male,69,2048.32
1999-03-04,Phone or Utilities Fraud,NY,50-59,Male,73,
1999-03-08,Bank Fraud,CA,60+,Female,78,2711.61
1999-03-09,Phone or Utilities Fraud,CA,30-39,Female,65,2862.86
1999-03-12,Loan or Lease Fraud,CA,40-49,Male,79,1537.79
1999-03-13,Government Documents or Benefits Fraud,OH,18-29,Male,59,6025.98
1999-03-15,Loan or Lease Fraud,TX,60+,Female,48,1805.41
1999-03-16,Employment Fraud,CA,50-59,Male,81,2225.01
1999-03-16,Bank Fraud,IL,40-49,Female,73,3714.18
1999-03-16,Government Documents or Benefits Fraud,TX,40-49,Female,81,266.38
1999-03-17,Tax-Related Fraud,FL,30-39,Female,59,2316.27
1999-03-21,Phone or Utilities Fraud,TX,18-29,Female,92,1689.5
1999-03-21,Bank Fraud,TX,50-59,Female,74,3583.14
1999-03-22,Credit Card Fraud,TX,50-59,Male,54,7204.04
1999-03-23,Loan or Lease Fraud,FL,60+,Male,83,5547.11
1999-03-24,Government Documents or Benefits Fraud,TX,50-59,Male,76,491.18
1999-03-24,Government Documents or Benefits Fraud,PA,30-39,Male,64,7507.48
1999-03-24,Loan or Lease Fraud,CA,18-29,Female,70,2532.5
1999-03-24,Phone or Utilities Fraud,CA,18-29,Female,68,3242.87
1999-03-25,Credit Card Fraud,TX,50-59,Female,65,1511.57
1999-03-25,Credit Card Fraud,FL,30-39,Female,73,2109.71
1999-03-25,Credit Card Fraud,NY,40-49,Male,82,3099.8
1999-03-28,Credit Card Fraud,NC,40-49,Male,74,6722.92
1999-03-30,Bank Fraud,OH,40-49,Female,57,9977.18
1999-03-30,Credit Card Fraud,FL,18-29,Male,81,763.05
1999-03-30,Credit Card Fraud,GA,40-49,Female,63,3657.99
1999-03-31,Phone or Utilities Fraud,TX,40-49,Female,63,1066.53
1999-03-31,Credit Card Fraud,TX,30-39,Male,70,2901.41
1999-04-01,Employment Fraud,NY,30-39,Male,43,1414.16
1999-04-03,Tax-Related Fraud,CA,60+,Female,51,3579.58
1999-04-03,Loan or Lease Fraud,OH,30-39,Male,56,2435.32
1999-04-04,Government Documents or Benefits Fraud,NC,30-39,Male,61,1007.09
1999-04-05,Phone or Utilities Fraud,TX,18-29,Female,70,5016.97
1999-04-07,Credit Card Fraud,CA,60+,Female,76,11113.86
1999-04-08,Credit Card Fraud,MI,50-59,Male,51,1874.74
1999-04-10,Employment Fraud,IL,18-29,Male,77,991.69
1999-04-14,Bank Fraud,GA,50-59,Male,48,4916.93
1999-04-14,Credit Card Fraud,TX,30-39,Male,61,2871.18
1999-04-14,Loan or Lease Fraud,TX,50-59,Female,62,2087.16
1999-04-15,Credit Card Fraud,GA,50-59,Male,63,1694.15
1999-04-15,Credit Card Fraud,CA,18-29,Female,82,6805.45
1999-04-15,Bank Fraud,NY,18-29,Male,51,5805.2
1999-04-18,Phone or Utilities Fraud,FL,18-29,Male,57,541.98
1999-04-19,Credit Card Fraud,NY,18-29,Female,71,1137.63
1999-04-21,Loan or Lease Fraud,MI,18-29,Male,69,796.97
1999-04-21,Credit Card Fraud,NC,60+,Male,67,1231.36
1999-04-23,Loan or Lease Fraud,OH,30-39,Male,54,3806.19
1999-04-25,Government Documents or Benefits Fraud,OH,40-49,Male,84,3445.4
1999-04-25,Credit Card Fraud,FL,50-59,Female,67,3878.44
1999-04-26,Phone or Utilities Fraud,CA,50-59,Male,72,559.48
1999-04-26,Credit Card Fraud,NY,50-59,Female,56,561.38
1999-04-28,Bank Fraud,CA,18-29,Female,64,4840.65
1999-04-29,Bank Fraud,MI,40-49,Male,80,1064.29
1999-04-29,Credit Card Fraud,GA,30-39,Female,56,1275.03
1999-04-30,Bank Fraud,TX,18-29,Male,68,6676.81
1999-05-01,Credit Card Fraud,GA,40-49,Male,60,1516.75
1999-05-02,Credit Card Fraud,CA,30-39,Male,63,24369.47
1999-05-04,Phone or Utilities Fraud,CA,40-49,Female,61,772.81
1999-05-10,Bank Fraud,CA,60+,Male,60,4429.09
1999-05-10,Tax-Related Fraud,TX,18-29,Female,80,929.56
1999-05-13,Phone or Utilities Fraud,OH,18-29,Female,59,1683.15
1999-05-14,Credit Card Fraud,NC,50-59,Male,78,540.34
1999-05-17,Phone or Utilities Fraud,CA,40-49,Female,42,3192.03
1999-05-17,Credit Card Fraud,PA,60+,Male,61,1557.49
1999-05-19,Credit Card Fraud,TX,60+,Male,53,1817.86
1999-05-19,Government Documents or Benefits Fraud,GA,18-29,Female,48,1426.0
1999-05-20,Bank Fraud,PA,40-49,Male,70,1042.18
1999-05-21,Phone or Utilities Fraud,GA,50-59,Female,51,1664.8
1999-05-22,Government Documents or Benefits Fraud,FL,30-39,Female,68,2379.75
1999-05-22,Phone or Utilities Fraud,CA,18-29,Male,48,4418.35
1999-05-22,Phone or Utilities Fraud,TX,40-49,Female,62,906.11
