Reported_Date,Type,State,Age_Group,Gender,Cases,Monetary_Loss
1999-01-01,Credit Card Fraud,CA,50-59,Male,46,
1999-01-03,Credit Card Fraud,CA,50-59,Male,73,3301.45
1999-01-04,Bank Fraud,CA,18-29,Male,72,13725.04
1999-01-07,Bank Fraud,TX,40-49,Male,51,559.17
1999-01-10,Phone or Utilities Fraud,FL,30-39,Male,79,863.59
1999-01-10,Phone or Utilities Fraud,FL,40-49,Female,66,5854.27
1999-01-11,Tax-Related Fraud,TX,30-39,Female,66,2453.79
1999-01-11,Credit Card Fraud,NY,40-49,Female,63,7873.85
1999-01-11,Credit Card Fraud,NY,50-59,Male,57,1797.44
1999-01-12,Credit Card Fraud,CA,40-49,Female,65,1128.61
1999-01-13,Government Documents or Benefits Fraud,TX,30-39,Female,59,2874.63
1999-01-15,Phone or Utilities Fraud,NC,18-29,Male,32,1702.39
1999-01-17,Bank Fraud,OH,40-49,Female,63,3632.24
1999-01-22,Employment Fraud,CA,18-29,Female,50,425.94
1999-01-22,Bank Fraud,OH,18-29,Female,52,7996.32
1999-01-23,Tax-Related Fraud,NY,60+,Male,61,505.28
1999-01-23,Loan or Lease Fraud,OH,30-39,Female,57,897.37
1999-01-23,Credit Card Fraud,NC,30-39,Male,58,3800.14
1999-01-24,Employment Fraud,OH,50-59,Female,47,3019.49
1999-01-24,Employment Fraud,FL,18-29,Male,76,336.88
1999-01-25,Credit Card Fraud,CA,30-39,Male,99,10629.54
1999-01-26,Government Documents or Benefits Fraud,CA,40-49,Female,60,5227.1
1999-01-27,Employment Fraud,TX,30-39,Male,64,5135.57
1999-01-29,Loan or Lease Fraud,IL,30-39,Female,61,1195.27
1999-01-29,Government Documents or Benefits Fraud,OH,30-39,Male,60,1463.22
1999-01-30,Employment Fraud,MI,50-59,Female,57,2697.83
1999-01-30,Credit Card Fraud,CA,60+,Male,53,1667.49
1999-01-31,Phone or Utilities Fraud,CA,40-49,Male,66,1392.48
1999-01-31,Credit Card Fraud,NY,40-49,Male,45,1957.91
1999-02-03,Credit Card Fraud,CA,30-39,Male,66,10915.14
1999-02-04,Bank Fraud,CA,30-39,Female,55,1298.28
1999-02-05,Credit Card Fraud,NY,40-49,Male,71,10812.16
1999-02-09,Employment Fraud,NC,18-29,Male,59,366.99
1999-02-09,Credit Card Fraud,TX,40-49,Male,73,2033.78
1999-02-10,Bank Fraud,TX,30-39,Female,47,1050.98
1999-02-10,Credit Card Fraud,CA,40-49,Male,82,1553.71
1999-02-11,Credit Card Fraud,FL,30-39,Female,61,13375.95
1999-02-11,Bank Fraud,OH,40-49,Male,57,11399.96
1999-02-12,Phone or Utilities Fraud,FL,50-59,Male,49,1806.28
1999-02-14,Credit Card Fraud,NY,30-39,Female,72,1783.11
1999-02-14,Phone or Utilities Fraud,TX,18-29,Female,69,615.34
1999-02-15,Credit Card Fraud,NY,18-29,Male,64,4985.68
1999-02-15,Credit Card Fraud,CA,18-29,Female,83,3308.4
1999-02-15,Bank Fraud,OH,30-39,Male,75,2184.1
1999-02-17,Credit Card Fraud,GA,50-59,Female,89,1209.16
1999-02-17,Bank Fraud,CA,30-39,Male,49,2708.65
1999-02-18,Tax-Related Fraud,IL,18-29,Male,70,2825.51
1999-02-19,Bank Fraud,FL,50-59,Female,68,2439.41
1999-02-21,Bank Fraud,PA,50-59,Male,63,698.32
1999-02-21,Government Documents or Benefits Fraud,PA,60+,Female,50,21130.67
1999-02-22,Tax-Related Fraud,TX,18-29,Female,74,3508.02
1999-02-22,Employment Fraud,TX,60+,Female,75,813.71
1999-02-22,Credit Card Fraud,OH,60+,Male,63,9785.06
1999-02-23,Credit Card Fraud,TX,18-29,Male,58,2643.77
1999-02-23,Credit Card Fraud,TX,40-49,Female,64,3123.23
1999-02-24,Loan or Lease Fraud,NY,50-59,Female,69,10391.25
1999-02-26,Bank Fraud,CA,40-49,Female,89,780.04
1999-02-26,Bank Fraud,IL,40-49,Male,75,12119.54
1999-02-27,Employment Fraud,OH,30-39,Male,85,6937.74
1999-03-01,Phone or Utilities Fraud,GA,30-39,Female,79,9936.66
1999-03-02,Credit Card Fraud,CA,40-49,Male,68,3905.22
1999-03-02,Loan or Lease Fraud,CA,18-29,Female,68,2769.59
1999-03-03,Loan or Lease Fraud,NY,30-39,Female,80,827.17
1999-03-03,Loan or Lease Fraud,TX,50-59,Male,85,619.95
1999-03-04,Credit Card Fraud,PA,60+,Male,74,2318.69
1999-03-04,Credit Card Fraud,FL,30-39,Female,63,2568.11
1999-03-07,Government Documents or Benefits Fraud,CA,50-59,Male,70,1053.62
1999-03-09,Loan or Lease Fraud,GA,50-59,Female,83,9657.81
1999-03-09,Credit Card Fraud,CA,50-59,Female,77,8169.59
1999-03-12,Bank Fraud,TX,40-49,Female,67,1597.09
1999-03-16,Credit Card Fraud,MI,60+,Female,53,4293.14
1999-03-18,Government Documents or Benefits Fraud,NC,60+,Female,83,661.94
1999-03-20,Phone or Utilities Fraud,CA,18-29,Female,63,1262.43
1999-03-20,Bank Fraud,CA,30-39,Male,69,3208.04
1999-03-23,Credit Card Fraud,NY,50-59,Male,66,8250.69
1999-03-24,Bank Fraud,MI,40-49,Male,69,5141.33
1999-03-24,Government Documents or Benefits Fraud,CA,40-49,Male,55,2191.79
1999-03-25,Bank Fraud,TX,50-59,Female,68,367.69
1999-03-25,Government Documents or Benefits Fraud,NY,30-39,Female,81,674.72
1999-03-26,Phone or Utilities Fraud,TX,18-29,Female,77,2575.06
1999-03-26,Employment Fraud,TX,30-39,Male,72,1986.96
1999-03-26,Credit Card Fraud,NY,40-49,Female,76,
1999-03-28,Government Documents or Benefits Fraud,TX,18-29,Male,69,6187.89
1999-03-28,Bank Fraud,MI,30-39,Male,61,4222.32
1999-03-29,Phone or Utilities Fraud,CA,40-49,Female,60,1602.19
1999-03-29,Credit Card Fraud,PA,30-39,Male,76,983.87
1999-03-30,Credit Card Fraud,TX,40-49,Male,68,1584.0
1999-03-30,Credit Card Fraud,NY,30-39,Male,64,2889.09
1999-03-31,Bank Fraud,TX,50-59,Female,60,7117.13
1999-04-02,Government Documents or Benefits Fraud,FL,40-49,Male,58,2566.99
1999-04-02,Credit Card Fraud,TX,60+,Male,69,1073.0
